10000	
100	
100	3
110	9
120	11
130	7
140	5
150	0
160	2
170	6
180	3
190	1
200	4
210	5
220	0
230	10
240	8
250	9
260	9
270	8
280	0
290	3
300	9
310	10
320	8
330	3
340	7
350	3
360	9
370	6
380	12
390	7
400	8
410	6
420	12
430	6
440	12
450	1
460	11
470	6
480	5
490	4
500	6
510	6
520	0
530	7
540	7
550	11
560	4
570	2
580	3
590	2
600	9
610	10
620	2
630	3
640	1
650	9
660	1
670	7
680	11
690	12
700	10
710	1
720	4
730	11
740	4
750	11
760	8
770	0
780	0
790	7
800	7
810	12
820	0
830	4
840	10
850	12
860	8
870	8
880	12
890	8
900	2
910	3
920	3
930	3
940	9
950	8
960	10
970	0
980	4
990	0
1000	10
1010	6
1020	7
1030	0
1040	3
1050	0
1060	1
1070	8
1080	9
1090	2
